B01003_001E,NAME,GEOID,american indian area/alaska native area/hawaiian home land
526,"Leialii Hawaiian Home Land, HI",25000US5135,5135
124,"Lualualei Hawaiian Home Land, HI",25000US5136,5136
502,"Maili Hawaiian Home Land, HI",25000US5138,5138
0,"Makaha Valley Hawaiian Home Land, HI",25000US5139,5139
104,"Makuu Hawaiian Home Land, HI",25000US5146,5146
900,"Maluohai Hawaiian Home Land, HI",25000US5148,5148
7,"Moloaa Hawaiian Home Land, HI",25000US5156,5156
5148,"Nanakuli Hawaiian Home Land, HI",25000US5161,5161
69,"Nienie Hawaiian Home Land, HI",25000US5166,5166
744,"Panaewa (Agricultural) Hawaiian Home Land, HI",25000US5176,5176
1281,"Panaewa (Residential) Hawaiian Home Land, HI",25000US5177,5177
1265,"Papakolea Hawaiian Home Land, HI",25000US5179,5179
0,"Pauahi Hawaiian Home Land, HI",25000US5181,5181
962,"Paukukalo Hawaiian Home Land, HI",25000US5186,5186
154,"Pearl City Hawaiian Home Land, HI",25000US5188,5188
30,"Piihonua Hawaiian Home Land, HI",25000US5193,5193
3,"Ponohawaii Hawaiian Home Land, HI",25000US5196,5196
1203,"Princess Kahanu Estates Hawaiian Home Land, HI",25000US5198,5198
0,"Pulehunui Hawaiian Home Land, HI",25000US5199,5199
912,"Puukapu Hawaiian Home Land, HI",25000US5201,5201
0,"South Maui Hawaiian Home Land, HI",25000US5213,5213
7,"Ualapue Hawaiian Home Land, HI",25000US5216,5216
0,"Upolu Hawaiian Home Land, HI",25000US5222,5222
25,"Waiahole Hawaiian Home Land, HI",25000US5223,5223
0,"Waiakea Hawaiian Home Land, HI",25000US5236,5236
2744,"Waianae Hawaiian Home Land, HI",25000US5238,5238
448,"Waianae Kai Hawaiian Home Land, HI",25000US5239,5239
1630,"Waiehu Hawaiian Home Land, HI",25000US5241,5241
0,"Waiku-Hana Hawaiian Home Land, HI",25000US5248,5248
0,"Wailau Hawaiian Home Land, HI",25000US5251,5251
0,"Wailua Hawaiian Home Land, HI",25000US5256,5256
2883,"Waimanalo Hawaiian Home Land, HI",25000US5271,5271
0,"Waimanu Hawaiian Home Land, HI",25000US5276,5276
0,"Waimea Hawaiian Home Land, HI",25000US5281,5281
0,"Waiohinu Hawaiian Home Land, HI",25000US5283,5283
952,"Waiohuli (Residential) Hawaiian Home Land, HI",25000US5286,5286
15173,"Caddo-Wichita-Delaware OTSA, OK",25000US5540,5540
509005,"Cherokee OTSA, OK",25000US5550,5550
177614,"Cheyenne-Arapaho OTSA, OK",25000US5560,5560
306859,"Chickasaw OTSA, OK",25000US5580,5580
232409,"Choctaw OTSA, OK",25000US5590,5590
119624,"Citizen Potawatomi Nation-Absentee Shawnee OTSA, OK",25000US5600,5600
769934,"Creek OTSA, OK",25000US5620,5620
848,"Eastern Shawnee OTSA, OK",25000US5640,5640
6630,"Iowa OTSA, OK",25000US5670,5670
5721,"Kaw OTSA, OK",25000US5690,5690
20199,"Kickapoo OTSA, OK",25000US5700,5700
198146,"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, OK",25000US5720,5720
215,"Miami OTSA, OK",25000US5730,5730
421,"Modoc OTSA, OK",25000US5740,5740
786,"Otoe-Missouria OTSA, OK",25000US5760,5760
5786,"Ottawa OTSA, OK",25000US5770,5770
16417,"Pawnee OTSA, OK",25000US5780,5780
4986,"Peoria OTSA, OK",25000US5795,5795
2064,"Ponca OTSA, OK",25000US5800,5800
5791,"Quapaw OTSA, OK",25000US5810,5810
